,nstiff,mode,rho0,gamma,eig_CF,eig_FEA
0,1,global,9.999999999548738,1.9999999960812542,5.482499997524268,5.470294456634155
0,1,global,9.232666380913596,2.0000000000518945,5.46413468195759,5.480556211202695
0,1,global,8.524212850079412,1.9999999999647027,5.504724372613343,5.494659200165745
0,1,global,7.870121340497211,1.9999999999999707,5.464178860236578,5.5148884246986745
0,1,global,7.266220471391458,2.000000000126772,5.512143578190414,5.53722318463164
0,1,global,6.708658946263437,1.9999999999999936,5.466684785802826,5.5603212125265475
0,1,global,6.193880991418721,2.00000000005918,5.489516000662546,5.612547999492242
0,1,global,5.718603679678215,2.0000000000000004,5.5116826751978945,5.624797043492764
0,1,global,5.279795993910471,1.9999999999984583,5.4641615009928834,5.678404800846082
0,1,global,4.874659497101557,1.9999999999892373,5.50515011351534,5.764866519071833
0,1,global,4.500610485726843,2.000000000008147,5.5835821647595205,5.779067088294795
0,1,global,4.155263512514526,2.000000000000403,5.482215799108977,5.84072543015048
0,1,global,3.8364161735808255,1.9999999999999272,5.469820509909919,5.965327429241816
0,1,global,3.5420350628993122,1.99999999999961,5.546079595873348,6.126667810901617
0,1,global,3.2702428045228564,1.9999999999941134,5.712941486775973,6.146977405899513
0,1,global,3.0193060798729197,1.9999999999865,5.595388919804208,6.2180656470413025
0,1,global,2.787624573731255,1.9999999999999747,5.486945152086539,6.362267130492904
0,1,global,2.573720768448273,1.9999999999999931,5.467593296409072,6.592111096822135
0,1,global,2.3762305212698176,1.9999999999999551,5.536838910293099,6.913716553733438
0,1,global,2.193894364657948,2.000000001058468,5.696451229307112,7.332813440735554
0,1,global,2.025549474424967,1.9999999999877203,5.950508366584449,7.442100206584474
0,1,global,1.870122253538671,1.9999999999976281,6.305501518599082,7.524838791247117
0,1,global,1.7266214858434925,1.999999999998536,5.987520597315364,7.685633414375437
0,1,global,1.5941320145625222,1.9999999974974718,5.721775079835693,7.945809751884265
0,1,global,1.4718089056909516,2.000000000012917,5.5511214120139885,8.316893882671808
0,1,global,1.358872060269715,2.000000000000451,5.471199367335987,8.805820592653106
0,1,global,1.2546012386808096,1.999999999999653,5.479966927815873,9.416631329245678
0,1,global,1.1583314677814338,1.9999999999999243,5.577648105784808,10.14664742512321
0,1,global,1.0694488000533935,1.9999999999999958,5.766738668320848,10.98956101745414
0,1,global,0.9873863982355855,1.9999999999989906,6.052069904425663,11.928757891809415
0,1,global,0.9116209203955984,1.9999999999974842,6.440932065102007,12.937122503469727
0,1,global,0.8416691823868513,2.000000000000067,6.9432606302411575,13.96373721827466
0,1,global,0.7770850764070386,1.9999999999994373,7.571890161430035,14.958101057841159
0,1,global,0.717456726004893,2.000000000002781,8.342882226747765,15.857966563037612
0,1,global,0.6499999999999957,1.9999999999997782,9.523091715975895,16.773567291619898
0,1,local,0.5702134113483964,2.000000000013735,11.551843321418357,17.62083529317367
0,1,local,0.5002205145857392,1.9999999999970222,14.239642861211998,18.18551143680658
0,1,local,0.4388191477664248,2.000000000055165,17.771940271946647,18.72772808397736
0,1,local,0.3849547126348228,2.000000000000494,22.39245325555634,19.518901264874756
0,1,local,0.3377020613936979,2.000000000000206,28.41998305737721,20.785347492845315
0,1,local,0.2962496068404378,2.000000000007206,36.27041077286624,22.725428402063
0,1,local,0.25988538296476116,1.999999999999851,46.485391870140646,25.53187082191288
0,1,local,0.22798481658424957,2.000000000001058,59.76972875960588,29.454649032954375
0,1,local,0.2000000000000001,2.0000000000002465,77.0400000000061,34.76104556064098
0,2,global,10.000000000000442,2.000000000008265,5.482500000005258,5.4670431360263025
0,2,global,9.232666380916875,2.0000000000378546,5.46413468194953,5.476053317491137
0,2,global,8.524212850115672,2.0000000000000435,5.50472437263538,5.488646812823225
0,2,global,7.870121340497148,2.0000000000003753,5.464178860236814,5.510438560995098
0,2,global,7.266220471648984,2.0000000007662244,5.512143578585386,5.530777373381594
0,2,global,6.708658946048858,1.9999999994370181,5.466684785481544,5.55430357645468
0,2,global,6.193880991366225,1.9999999999382911,5.4895160005908945,5.6059803194305236
0,2,global,5.718603679678286,2.000000000000924,5.51168267519836,5.61678472321047
0,2,global,5.279795993910427,1.9999999999999964,5.464161500993765,5.672232553410089
0,2,global,4.874659497099538,1.9999999999919285,5.505150113517595,5.758552766007606
0,2,global,4.500610485728061,2.0000000000001052,5.583582164756444,5.772257204796201
0,2,global,4.155263512514519,1.9999999999999998,5.482215799108766,5.834835325775914
0,2,global,3.836416173580824,1.9999999999999998,5.4698205099099635,5.965419955802071
0,2,global,3.542035062897738,1.9999999999627731,5.546079595847598,6.126743003213572
0,2,global,3.2702428044912835,1.9999999986765542,5.71294148569298,6.143952423793174
0,2,global,3.019306079872623,1.9999999999976068,5.595388919808892,6.2158001416411075
0,2,global,2.7876245737313208,2.000000000046701,5.48694515211061,6.36669829070142
0,2,global,2.5737207684481263,2.0000000000128946,5.467593296416881,6.60960076023429
0,2,global,2.3762305212697825,2.000000000001111,5.536838910293939,6.953545312572302
0,2,global,2.193894364701632,1.9999999999999998,5.696451228376103,7.40694173275919
0,2,global,2.025549474424518,1.9999999999999867,5.9505083665972505,7.475382391247116
0,2,global,1.8701222535386535,1.999999999997771,6.305501518599293,7.5486970341244914
0,2,global,1.7266214858440307,1.9999999999855353,5.987520597312234,7.71234058003638
0,2,global,1.5941320144900972,1.999999999999984,5.721775080696803,7.984546460376228
0,2,global,1.4718089056912556,1.9999999999999565,5.551121412008328,8.381985152779894
0,2,global,1.3588720602898343,1.9999999993825806,5.471199367007946,8.914735601945603
0,2,global,1.2546012387000798,1.9999999994067672,5.479966927429008,9.596016881878036
0,2,global,1.158331467798822,1.9999999994538296,5.577648105350955,10.43525682992175
0,2,global,1.069448800068203,1.9999999995183466,5.766738667858753,11.447543889451968
0,2,global,0.9873863982475298,1.9999999995930502,6.052069903958424,12.641786059485575
0,2,global,0.9116209204047577,1.9999999996702973,6.440932064652467,14.029579162685234
0,2,global,0.8416691823936346,1.9999999997433726,6.94326062982196,15.625467306423781
0,2,global,0.7770850764117645,1.9999999998074924,7.571890161059093,17.425026636044592
0,2,global,0.7174567260081047,1.9999999998602342,8.342882226423267,19.427654943055988
0,2,global,0.6624038593963224,1.999999999901304,9.275935775641248,21.62080401633345
0,2,global,0.6115753843226532,1.9999999999318792,10.394890450891658,23.958404040561994
0,2,global,0.564647149022296,1.9999999999538294,11.728335692831074,26.38988637493395
0,2,local,0.5213198749851363,1.9999999999691498,13.310341204602107,28.838120366610188
0,2,local,0.48131724834201,2.0000000003550507,15.181327439176194,31.21866602414179
0,2,local,0.444384157731962,2.000000000337646,17.389098339842313,33.431133303524504
0,2,local,0.4102850673303294,2.0000000003023346,19.990062748125315,35.41603196339931
0,2,local,0.3788025147733126,2.0000000002612945,23.050675650352506,37.148277657937044
0,2,local,0.3497357243154597,2.000000000220902,26.649136112950593,38.633685661812784
0,2,local,0.32289932640930025,2.0000000001841878,30.877385278987397,39.94493468179672
0,2,local,0.2981221755359591,2.0000000001523026,35.84345547659728,41.178514813644966
0,2,local,0.27524625874760966,2.0000000001253846,41.67423045932343,42.451513983120265
0,2,local,0.2541256879611411,2.000000000103072,48.51868730288429,43.88997158954566
0,2,local,0.2346257695765232,2.000000000084795,56.55170278925751,45.62001075683757
0,2,local,0.21662214548648295,2.000000000069926,65.97852153170085,47.73424554939064
0,2,local,0.19999999999939827,2.0000000000578706,77.04000000189782,49.63144912120421
0,3,global,10.000000000000059,2.0000000000004627,5.482500000000292,5.460257027623218
0,3,global,9.232666380903908,2.0000000000097096,5.4641346819333085,5.468293914229719
0,3,global,8.52421285011567,2.000000000000083,5.5047243726353985,5.479642792504231
0,3,global,7.8701213404520285,1.9999999999139757,5.464178860186863,5.499248128285448
0,3,global,7.266220471306633,1.9999999998316875,5.512143578002728,5.517510798611848
0,3,global,6.7086589463220125,2.000000000085723,5.466684785852783,5.5400188551833995
0,3,global,6.193880991448576,2.000000000043316,5.489516000648155,5.591286830131311
0,3,global,5.718603679677391,2.0000000000019975,5.5116826751987045,5.600501788359832
0,3,global,5.279795993909086,2.00000000000356,5.4641615009958,5.654705341931136
0,3,global,4.874659497101944,2.0000000000045803,5.505150113525586,5.741595898794845
0,3,global,4.500610485727475,2.000000000003447,5.58358216475769,5.753960682987123
0,3,global,4.155263512514524,1.9999999999999363,5.482215799108734,5.816748551944026
0,3,global,3.836416173580805,2.000000000002771,5.46982050991166,5.945412851167912
0,3,global,3.5420350628996227,2.000000000006569,5.546079595878208,6.107756670948158
0,3,global,3.270242804523572,2.0000000000070535,5.7129414867862796,6.1233432772820375
0,3,global,3.019306079873416,2.0000000000062856,5.595388919813206,6.193942557908475
0,3,global,2.7876245737320073,2.0000000000053033,5.486945152089499,6.34428246122968
0,3,global,2.573720768448934,2.000000000004414,5.4675932964116605,6.587630358864242
0,3,global,2.3762305212703603,2.0000000000036504,5.5368389102953905,6.9340929479912825
0,3,global,2.193894364702154,2.000000000003165,5.696451228378119,7.390918101741863
0,3,global,2.025549474425,2.000000000003176,5.950508366599456,7.453589082334443
0,3,global,1.8701222535389563,2.000000000003261,6.3055015186047445,7.524596417953025
0,3,global,1.7266214858436255,2.0000000000021725,5.987520597316888,7.685795853596935
0,3,global,1.594132014490141,2.000000000000764,5.721775080697185,7.961628229775767
0,3,global,1.471808905691255,2.0000000000000533,5.5511214120083725,8.363396851490505
0,3,global,1.3588720602697246,1.9999999999983284,5.47119936733484,8.903863429917827
0,3,global,1.2546012386808052,2.0000000000000155,5.479966927816106,9.598109344687876
0,3,global,1.1583314677814325,2.0000000000000004,5.577648105784869,10.459325555831018
0,3,global,1.0694488000533944,2.000000000000085,5.766738668320923,11.499300021425242
0,3,global,0.9873863982355855,2.00000000000038,6.052069904427088,12.742957978915017
0,3,global,0.911620920395594,2.0000000000003224,6.44093206510545,14.202732888518241
0,3,global,0.8416691823869178,2.0000000000001728,6.943260630240749,15.902667869750779
0,3,global,0.7770850764070357,2.0000000000000013,7.571890161431003,17.858489220510943
0,3,global,0.7174567260048889,1.9999999999999574,8.34288222674234,20.09458239185291
0,3,global,0.6624038593941963,1.9999999999999742,9.275935775907195,22.61676576955862
0,3,global,0.6115753843212782,1.9999999999999754,10.394890451108106,25.444243452237345
0,3,global,0.5646471490214212,1.999999999999973,11.728335693003968,28.559537848331924
0,3,global,0.5213198749845861,1.9999999999999674,13.31034120473823,31.9598375614005
0,3,global,0.4813172483469568,1.9999999999999638,15.181327437382016,35.58835270077871
0,3,global,0.44438415774147894,2.0000000004829355,17.38909833993581,39.39019692879456
0,3,global,0.41028506733838205,2.000000000388023,19.990062747941383,43.25149162358545
0,3,global,0.3788025147800111,2.000000000308672,23.050675649948342,47.17841276003899
0,3,global,0.34973572432098854,2.000000000244561,26.649136112372414,49.77791434002804
0,3,global,0.32289932641385627,2.0000000001937694,30.877385278270275,44.49245972376606
0,3,local,0.2981221755397225,2.0000000001539275,35.843455475765595,45.267781529152366
0,3,local,0.27524625875073433,2.000000000122786,41.67423045839179,45.88521939703545
0,3,local,0.2541256879637536,2.000000000098434,48.51868730185867,54.265982152071985
0,3,local,0.23462576957872508,2.0000000000793365,56.55170278813654,46.37920057407043
0,3,local,0.21662214548835468,2.0000000000642926,65.97852153047681,46.8762057862262
0,3,local,0.2000000000010033,2.0000000000523777,77.04000000055737,48.014285731245785
0,4,global,9.999999999950381,1.999999999752703,5.4824999998452775,5.452842723383764
0,4,global,9.232666380908526,2.0000000000014855,5.464134681928597,5.459750035914241
0,4,global,8.524212850115866,1.9999999999992655,5.504724372635018,5.470239730848585
0,4,global,7.870121340499304,1.9999999999063256,5.4641788601821375,5.488789996084224
0,4,global,7.266220471409227,2.0000000000078764,5.512143578106515,5.507802159079697
0,4,global,6.708658946263358,1.9999999999987546,5.4666847858021335,5.52776538010485
0,4,global,6.193880991438298,2.0000000000098135,5.489516000627718,5.578594484787326
0,4,global,5.718603679678214,2.0000000000000004,5.511682675197894,5.588172758555418
0,4,global,5.279795993911523,2.00000000000048,5.464161500994051,5.641202935875756
0,4,global,4.874659497103433,2.000000000000299,5.505150113522376,5.726641862179546
0,4,global,4.500610485727973,2.000000000000137,5.583582164756422,5.737972161348438
0,4,global,4.155263512514659,1.9999999999998566,5.482215799108715,5.7976078172445416
0,4,global,3.8364161735815694,1.999999999999092,5.46982050990933,5.925994112777681
0,4,global,3.54203506290025,1.9999999999983296,5.54607959587203,6.089789620117131
0,4,global,3.270242804523581,1.999999999997892,5.712941486778561,6.10398860915109
0,4,global,3.019306079872743,1.9999999999989582,5.595388919809562,6.173157967865924
0,4,global,2.787624573731322,2.000000000001061,5.4869451520871175,6.32141823190011
0,4,global,2.573720768448419,2.0000000000008864,5.467593296409594,6.563132803579607
0,4,global,2.376230521269709,1.9999999999996845,5.536838910292973,6.90648420175024
0,4,global,2.1938943647016313,2.0000000000000004,5.6964512283761035,7.364821863766915
0,4,global,2.0255494744245186,2.0000000000000018,5.950508366597264,7.427765052766639
0,4,global,1.8701222535385977,2.0000000000000018,6.305501518601997,7.497115243568088
0,4,global,1.7266214858434505,2.0000000000000018,5.9875205973157595,7.657488768456054
0,4,global,1.5941320144900966,2.0000000000000004,5.721775080696808,7.930830132775489
0,4,global,1.471808905691253,2.0000000000000004,5.551121412008346,8.332315940213809
0,4,global,1.358872060269724,2.0000000000000018,5.471199367335746,8.873465108464144
0,4,global,1.2546012386808043,2.0000000000000004,5.479966927816097,9.57056097313152
0,4,global,1.1583314677782945,1.999999999991321,5.577648105783243,10.437445786899342
0,4,global,1.0694488000505111,1.9999999999916693,5.766738668321542,11.488502015013095
0,4,global,0.9873863982329438,1.9999999999920313,6.052069904429773,12.747863748421041
0,4,global,0.911620920393345,1.9999999999929206,6.440932065110254,14.233197317773094
0,4,global,0.841669182385249,1.9999999999945361,6.943260630246776,15.967751960483385
0,4,global,0.7770850764060095,1.9999999999965217,7.571890161436767,17.981421522990352
0,4,global,0.7174567260044125,1.9999999999983384,8.342882226746253,20.300722045576762
0,4,global,0.6624038593941123,1.9999999999997016,9.275935775908197,22.939477206846107
0,4,global,0.6115753843214438,2.000000000000602,10.394890451105644,25.939187641064905
0,4,global,0.5646471490217329,2.0000000000011444,11.728335692997607,29.29848120248346
0,4,global,0.521319874984978,2.000000000001445,13.310341204727479,33.050552951845745
0,4,global,0.48131724834738887,2.0000000000015885,15.181327437366198,37.167939166174015
0,4,global,0.4443841577368783,2.000000000001635,17.38909833780903,41.663173824602076
0,4,global,0.41028506733459513,2.000000000001621,19.990062745971812,45.81015250270646
0,4,global,0.3788025147769153,2.0000000000015685,23.050675648147504,51.517405826554786
0,4,global,0.3497357243184623,2.000000000001489,26.64913611073772,56.72494373156138
0,4,global,0.3228993265078376,2.0000000003202834,30.87738526279527,57.68036917677852
0,4,global,0.2981221756142401,2.000000000245155,35.843455459962115,59.06178348560786
0,4,global,0.27524625881087134,2.0000000001900347,41.67423044200925,62.389830826905126
0,4,local,0.2541256880130743,2.0000000001490106,48.51868728463529,52.58325074412172
0,4,local,0.23462576961977025,2.000000000118062,56.5517027697921,54.76693930409548
0,4,local,0.21662214552296458,2.0000000000944143,65.97852151070491,46.215971794277074
0,4,local,0.2000000000305308,2.0000000000761298,77.03999997901735,46.82698761907624
0,5,global,10.00000000024091,2.0000000016081234,5.482500001011974,5.446892540379179
0,5,global,9.23266638211268,2.000000007234562,5.464134686090357,5.454683090030878
0,5,global,8.524212850115996,2.000000000001738,5.504724372636259,5.464276276553081
0,5,global,7.870121340497097,1.9999999999998381,5.464178860236502,5.479956628365018
0,5,global,7.266220471407239,1.9999999999995837,5.512143578101177,5.498516863612525
0,5,global,6.708658946307591,2.0000000001794196,5.4666847859042536,5.517270692396045
0,5,global,6.193880991414753,2.0000000000003744,5.489516000624764,5.569371385072945
0,5,global,5.718603679678232,2.000000000001069,5.511682675198419,5.576468716429205
0,5,global,5.279795993910223,2.000000000008474,5.46416150099863,5.628187667052962
0,5,global,4.8746594971017245,2.0000000000352824,5.505150113546307,5.71371754040739
0,5,global,4.500610485727138,2.0000000000193605,5.583582164764623,5.7240421034544084
0,5,global,4.155263512514728,2.0000000000002314,5.482215799108921,5.782111963954382
0,5,global,3.8364161735808913,1.9999999999999303,5.469820509909914,5.908921275247582
0,5,global,3.542035062899312,1.999999999999985,5.546079595873618,6.073891188641426
0,5,global,3.270242804522923,1.9999999999999998,5.712941486780873,6.086911439897024
0,5,global,3.019306079872658,1.9999999999999885,5.59538891980996,6.15443944817852
0,5,global,2.7876245737312755,1.9999999999999785,5.486945152086547,6.301028371125399
0,5,global,2.573720768448281,1.9999999999999813,5.467593296409063,6.54062266817467
0,5,global,2.3762305212698087,1.9999999999999931,5.536838910293131,6.881559954742786
0,5,global,2.1938943647016167,1.9999999999999971,5.696451228376118,7.337871925828645
0,5,global,2.0255494744245004,1.9999999999999998,5.950508366597297,7.404830058508479
0,5,global,1.870122253538579,1.9999999999999987,6.305501518602045,7.470636435602342
0,5,global,1.7266214858434317,1.9999999999999971,5.987520597315714,7.630531955886317
0,5,global,1.5941320144900777,1.9999999999999947,5.721775080696775,7.901863798361779
0,5,global,1.4718089056912342,1.9999999999999931,5.551121412008323,8.301501930673856
0,5,global,1.358872060269706,1.99999999999999,5.471199367335734,8.842817537248168
0,5,global,1.2546012386807877,1.9999999999999898,5.479966927816099,9.537661402935637
0,5,global,1.1583314677814183,1.9999999999999898,5.577648105784881,10.405087819969992
0,5,global,1.0694488000533817,1.99999999999999,5.766738668320876,11.458972339657839
0,5,global,0.9873863982355725,1.9999999999999918,6.0520699044267445,12.724559164048719
0,5,global,0.9116209203955831,1.9999999999999931,6.44093206510512,14.218177972352342
0,5,global,0.84166918238691,1.9999999999999947,6.943260630240562,15.970973361651087
0,5,global,0.7770850764070303,1.9999999999999947,7.571890161431052,18.0129574814368
0,5,global,0.7174567260048842,1.9999999999999947,8.342882226742482,20.361615234098217
0,5,global,0.6624038593941917,1.9999999999999947,9.275935775907332,23.066812670019523
0,5,global,0.6115753843212739,1.9999999999999947,10.394890451108266,26.14916719593623
0,5,global,0.5646471491072897,2.0000000001002913,11.728335690553694,29.626953557110255
0,5,global,0.521319875062936,2.0000000000920117,13.310341201840597,33.549848241242636
0,5,global,0.4813172484164206,2.000000000081348,15.181327434062391,37.919835953569965
0,5,global,0.4443841577963705,2.000000000069451,17.389098334137742,41.71879061120476
0,5,global,0.41028506738482073,2.00000000005767,19.990062741982648,47.99557651256443
0,5,global,0.3788025148187923,2.000000000046986,23.050675643873127,53.64962300097497
0,5,global,0.3497357243532026,2.0000000000378613,26.649136106186738,59.69252136077538
0,5,local,0.3228993264406296,2.0000000000303566,30.877385271948796,65.28086976549069
0,5,local,0.2981221755620747,2.000000000024328,35.84345546925911,60.250706241437285
0,5,local,0.2752462587695251,2.0000000000195404,41.67423045163266,76.61835994400293
0,5,local,0.2541256879796794,2.0000000000157563,48.51868729476407,64.10613317566275
0,5,local,0.2346257695923386,2.0000000000127653,56.551702780609574,69.79214188531684
0,5,local,0.2166221455000904,2.000000000010393,65.97852152240615,55.808279521972715
0,5,local,0.20000000001120172,2.0000000000085048,77.03999999181582,46.18785927955257
